KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+
67,AxW-,"5,055,107,760","230,308,519",4.56%,"8,290,852,010","76,062,216","11,846,330,356",59,"80,943,986",7,1,0,0,0,30,16,4,2,0,0,0
68,,"1,610,691,117",,0.00%,"5,107,630,434","23,030,990","4,171,096,077",14,"113,914,796",0,0,0,0,0,13,10,5,1,0,0,0
69,~Px~,"1,258,934,450","75,920,856",6.03%,"2,576,408,394","9,696,720","2,546,478,428",19,"61,561,729",3,1,1,0,0,4,3,2,1,0,0,0
70,,"1,206,329,313","4,707,166",0.39%,"1,133,647,053","14,085,310","1,523,423,052",20,"57,540,967",0,0,0,0,0,5,3,0,0,0,0,0
71,BBO,"5,180,174,162","215,672,383",4.16%,"5,945,309,749","87,811,135","9,255,336,205",87,"55,497,546",7,2,0,0,0,15,9,0,0,0,0,0
72,TP72,"8,467,600,453","361,762,057",4.27%,"9,160,982,470","103,843,181","14,063,326,963",133,"60,533,970",12,4,1,0,0,27,15,7,1,0,0,0
73,WW-,"3,490,383,311","238,215,134",6.82%,"7,861,761,004","49,538,653","8,808,189,432",45,"72,315,870",8,3,1,1,0,18,12,5,1,0,0,0
74,H0RD,"8,555,990,667","1,030,695,022",12.05%,"18,127,806,935","153,955,744","27,866,097,125",120,"70,061,878",40,7,2,1,1,45,15,1,0,0,0,0
75,,"1,000,130,944","25,600,100",2.56%,"4,242,859,813","11,364,945","2,064,326,669",9,"98,015,656",1,0,0,0,0,5,4,3,2,1,0,0
76,,"998,206,078","578,032",0.06%,"622,670,727","8,732,433","1,241,232,561",18,"48,129,818",0,0,0,0,0,2,0,0,0,0,0,0
77,MFD,"19,354,203,530","3,642,845,589",18.82%,"90,255,745,047","514,172,024","73,006,476,809",177,"109,281,086",133,82,36,19,12,136,124,69,33,10,1,0
78,F-M-,"2,988,277,860","380,117,340",12.72%,"7,481,774,440","31,809,502","7,714,702,834",34,"84,683,364",11,5,4,3,2,20,13,1,0,0,0,0
79,R0C,"9,951,861,604","937,669,896",9.42%,"22,510,630,778","231,408,093","28,271,860,255",115,"86,894,306",39,10,4,1,0,65,41,13,2,2,1,1
80,PIGs,"13,710,655,103","2,254,925,601",16.45%,"60,937,201,333","320,453,883","51,680,813,863",151,"93,708,794",92,56,17,8,4,98,92,55,18,6,2,0
81,DBB,"7,217,856,894","673,148,268",9.33%,"15,776,099,572","93,087,111","19,000,772,065",82,"86,818,315",26,9,5,2,0,47,39,11,3,0,0,0
82,CF-2,"13,512,828,359","1,773,554,264",13.12%,"30,306,922,653","186,345,044","39,346,263,372",153,"87,508,757",76,27,7,2,2,96,60,19,6,1,0,0
83,IL83,"3,626,857,724","157,870,953",4.35%,"2,592,148,033","38,128,597","4,684,269,768",49,"68,614,809",5,1,0,0,0,15,5,1,0,0,0,0
84,OG C,"4,491,144,468","305,216,055",6.80%,"6,462,713,648","55,277,546","8,726,035,968",54,"77,319,322",11,6,2,0,0,25,19,2,1,0,0,0
85,DG5N,"14,063,299,701","2,232,009,081",15.87%,"47,877,289,785","260,714,411","46,862,709,643",131,"105,849,569",93,53,13,7,3,102,90,41,14,2,1,0
86,ER86,"11,325,184,949","231,090,816",2.04%,"13,521,617,550","126,091,581","22,440,761,361",167,"65,943,957",2,0,0,0,0,46,22,2,1,0,0,0
87,#DK#,"12,901,188,399","1,195,282,871",9.26%,"29,980,001,887","148,281,233","40,841,904,592",123,"104,198,544",58,6,2,0,0,99,81,30,6,2,0,0
88,,"1,761,231,846","8,863,216",0.50%,"1,864,425,479","12,781,033","2,560,564,724",24,"69,633,606",0,0,0,0,0,11,5,0,0,0,0,0
89,GO!,"12,009,748,379","1,018,444,302",8.48%,"15,855,739,457","198,335,031","27,957,361,537",160,"72,504,555",35,11,5,0,0,55,26,4,1,0,0,0
90,LNV,"3,241,323,428","218,807,723",6.75%,"6,489,232,809","32,213,999","7,460,867,506",44,"69,417,407",5,4,3,1,1,15,6,2,0,0,0,0
91,MAX,"15,597,469,616","664,142,155",4.26%,"27,110,552,978","225,780,808","38,916,453,659",222,"68,007,832",18,3,0,0,0,78,45,5,0,0,0,0
92,wAo5,"22,570,175,181","4,340,102,653",19.23%,"121,833,189,382","884,514,713","92,184,940,499",246,"96,615,189",134,113,59,24,14,138,138,115,68,19,12,3
93,#SLS,"3,931,044,425","329,235,892",8.38%,"6,217,332,190","59,101,757","8,087,979,912",58,"59,979,958",10,6,4,2,0,17,5,1,0,0,0,0
94,300_,"1,770,132,164","40,234,623",2.27%,"1,230,373,860","17,529,468","2,362,433,059",30,"53,803,657",0,0,0,0,0,3,1,0,0,0,0,0
95,AeB,"1,325,526,176","4,034,206",0.30%,"2,899,330,864","16,408,590","3,076,259,054",18,"70,078,238",0,0,0,0,0,7,3,1,0,0,0,0
96,OAH,"3,368,027,019","52,973,374",1.57%,"4,612,557,364","35,994,274","5,563,807,961",51,"63,157,494",3,0,0,0,0,13,9,1,1,0,0,0
97,~TES,"4,339,287,634","163,451,739",3.77%,"5,458,355,030","76,966,257","8,819,890,016",77,"52,349,539",4,2,0,0,0,10,5,1,0,0,0,0
98,UwB,"7,872,872,411","419,226,355",5.32%,"8,768,879,617","103,260,701","15,494,933,414",119,"64,486,999",10,2,0,0,0,32,9,3,1,0,0,0
99,HOLy,"4,112,313,990","541,154,249",13.16%,"20,618,946,710","118,108,278","15,931,695,780",44,"95,860,446",20,13,5,2,0,26,24,21,10,3,0,0
100,-GPX,"7,760,460,303","225,413,473",2.90%,"9,155,788,425","84,600,637","14,577,265,270",128,"56,822,133",5,1,1,1,1,23,11,2,0,0,0,0
101,CBP!,"6,153,768,633","201,102,398",3.27%,"10,289,973,470","74,525,866","12,647,644,568",92,"64,519,964",4,1,1,1,1,27,19,8,4,1,0,0
102,SN#,"13,104,483,021","736,802,339",5.62%,"14,848,215,487","180,321,171","33,580,360,312",167,"75,481,012",17,4,0,0,0,76,33,2,0,0,0,0
103,JRX,"5,319,215,740","266,892,556",5.02%,"16,887,857,881","97,618,037","17,182,510,929",84,"65,384,493",9,0,0,0,0,33,14,2,0,0,0,0
104,WI-C,"3,718,897,848","265,461,194",7.14%,"13,514,112,356","89,161,709","13,096,158,261",69,"57,765,695",13,2,0,0,0,30,17,3,0,0,0,0
105,TEKD,"9,004,770,446","251,532,559",2.79%,"6,986,395,911","91,442,137","14,529,565,106",135,"62,296,034",4,1,0,0,0,27,12,1,0,0,0,0
106,MLSx,"4,740,783,246","153,988,089",3.25%,"4,394,337,374","47,039,798","7,518,773,621",70,"61,701,625",4,2,2,0,0,13,10,1,0,0,0,0
107,HBx,"3,124,518,034","41,405,392",1.33%,"2,273,351,787","37,183,694","5,789,544,286",44,"65,879,082",1,0,0,0,0,12,3,0,0,0,0,0
