KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,60-80M,80-100M,100-125M,125-150M,150-200M,200M+,#1 Ally,Total KD Power,CH16,Lords,CH16 AP,Lords AP,CH16 KvK,CH25 KvK,Allies,Ally Lords,Unique Alliances in KD,1B+ Power,1B+ Ally Tags,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,40-60M
29,SGW,2969996250,72167253,2.43%,3583765330,23305000,4582867890,47,60558080,7,6,6,0,0,0,"2,331,221,760","3,185,582,987",96,106,"33,096,747","30,052,670",0,0,8,83,SGW,"2,331,221,760",SGW,"2,969,996,250","72,167,253","3,583,765,330","4,582,867,890","23,305,000",11,14,14,85
30,30NA,24705356219,2569474522,10.40%,74736847785,328223562,65471421163,221,111866488,20,64,72,25,19,11,"22,767,701,917","27,456,833,132",728,874,"37,682,046","31,415,141",0,0,17,809,"30NA,30NB","24,640,310,578","30NA,30NB","24,705,356,219","2,569,474,522","74,736,847,785","65,471,421,163","328,223,562",111,1,3,0
31,PoTU,19952752061,1753906825,8.79%,34899714197,190847633,43760666120,258,76548150,76,74,44,2,1,0,"16,220,005,521","21,366,677,576",603,653,"35,394,619","32,720,793",0,0,14,555,"PoTU,POTC,PoIS","19,291,876,096","PoTU,POTC,PoIS","19,952,752,061","1,753,906,825","34,899,714,197","43,760,666,120","190,847,633",59,22,38,0
32,PXR,12670058980,138463632,1.09%,10550146255,103580963,20183424040,196,61842882,63,37,7,1,0,0,"4,995,272,363","13,237,703,886",322,350,"41,067,919","37,822,011",193,143,12,250,"PXR,MMMM","9,669,092,903","PXR,MMMM","12,670,058,980","138,463,632","10,550,146,255","20,183,424,040","103,580,963",36,51,46,0
33,AM33,1791048085,4994469,0.28%,627511410,10632764,1447948398,36,46620756,5,1,0,0,0,0,"1,647,906,717","2,457,762,510",148,174,"16,484,992","14,125,072",55,19,15,120,AM33,"1,647,906,717",AM33,"1,791,048,085","4,994,469","627,511,410","1,447,948,398","10,632,764",26,12,18,8
34,-VC,4399660333,68649795,1.56%,2392850645,49100602,5566076862,80,50941765,11,6,1,0,0,0,"2,866,383,146","4,795,274,096",167,191,"28,646,171","25,106,147",0,0,13,117,-VC,"2,866,383,146",-VC,"4,399,660,333","68,649,795","2,392,850,645","5,566,076,862","49,100,602",21,29,40,1
35,MH2,8780618812,49487588,0.56%,4998570677,89288302,12105039509,155,52369874,40,6,3,0,0,0,"6,725,670,922","9,326,795,941",276,289,"33,756,762","32,272,650",184,120,8,235,"MH2,MH3","7,941,864,037","MH2,MH3","8,780,618,812","49,487,588","4,998,570,677","12,105,039,509","89,288,302",33,53,69,0
36,FSK,19216653717,194651462,1.01%,39258263607,167601749,40393281210,245,72763552,64,57,23,4,2,3,"12,293,286,850","19,989,735,525",434,458,"46,032,225","43,645,711",290,196,11,398,"FSK,FSK2","15,722,643,045","FSK,FSK2","19,263,358,652","194,718,635","39,269,824,011","40,465,992,139","167,686,677",45,67,61,1
37,CHUB,10349819468,475464225,4.59%,13527053983,104071690,20367285288,163,61407024,42,25,10,2,0,0,"8,352,117,825","10,901,406,826",271,286,"40,204,370","38,116,807",188,131,11,238,"CHUB,EGG","9,403,800,632","CHUB,EGG","10,349,819,468","475,464,225","13,527,053,983","20,367,285,288","104,071,690",32,33,54,0
38,MOJO,11250295306,194254724,1.73%,16336656303,100273934,21860362061,173,61877931,40,27,16,0,0,0,"9,434,752,914","11,760,092,904",288,304,"40,811,111","38,684,516",210,150,5,256,"MOJO,Toal","10,804,297,194","MOJO,Toal","11,250,295,306","194,254,724","16,336,656,303","21,860,362,061","100,273,934",31,43,56,1
