KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+,Total KD Power,#1 Ally Power,CH16,Lords,CH16 AP,Lords AP,60M+,CH16 Kvk,CH25 Kvk,Allies,Ally Lords,Unique Alliances in KD,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,,
35,~MH~,10176961452,60327873,0.59%,7069654723,114803494,16288058249,166,57436567,"10,890,369,501",24,3,0,0,0,0,0,0,0,0,0,0,68,314,"34,565,374",508,"21,437,735",175,132,9,260,"8,179,803,245","~MH~,MH1","9,440,535,623","~MH~,MH1","10,176,961,452","60,327,873","7,069,654,723","16,288,058,249","114,803,494",33,49,66
36,FSK,16621670110,1701913441,10.24%,48248096820,165077471,43090115063,183,83864553,"17,502,007,964",105,62,20,7,3,57,25,10,7,3,1,1,119,363,"48,069,186",599,"29,218,711",0,0,16,334,"12,904,138,695","FSK,FSK2","14,591,882,947","FSK,FSK2","16,621,670,110","1,701,913,441","48,248,096,820","43,090,115,063","165,077,471",51,55,40
37,CHUB,3092944608,155178505,5.02%,2860197626,26153748,4761099998,51,54477087,"3,540,188,242",9,4,0,0,0,5,2,0,0,0,0,0,17,145,"24,163,829",342,"10,351,428",0,0,14,121,"2,060,187,633",CHUB,"2,060,187,633",CHUB,"3,092,944,608","155,178,505","2,860,197,626","4,761,099,998","26,153,748",19,24,17
38,MOJO,15238640535,1322416706,8.68%,27697796549,145880218,34197509939,188,79117243,"15,982,327,219",91,53,6,2,0,46,13,4,1,1,0,0,136,327,"48,768,572",523,"30,558,943",0,0,6,295,"12,990,409,835","MOJO,Toal","14,796,678,660","MOJO,Toal","15,238,640,535","1,322,416,706","27,697,796,549","34,197,509,939","145,880,218",28,29,33
39,MoD,10729211955,827634321,7.71%,16889808228,96641859,21809324021,134,77743775,"11,595,866,991",70,29,6,2,0,22,5,4,3,2,0,0,96,265,"43,626,882",458,"25,318,487",0,0,3,227,"9,847,611,040",MoD,"9,847,611,040",MoD,"10,729,211,955","827,634,321","16,889,808,228","21,809,324,021","96,641,859",53,19,21
40,TFS,17003755973,2305386761,13.56%,75737375198,321258484,57406819892,180,98125263,"20,774,691,435",121,113,72,42,8,102,53,13,5,0,1,0,122,598,"34,740,287",598,"34,740,287",0,0,15,559,"15,063,015,543","TFS,TFS3","17,192,516,499","TFS,TFS3","17,003,755,973","2,305,386,761","75,737,375,198","57,406,819,892","321,258,484",158,1,0
41,TB-A,2269968300,4518079,0.20%,5059093164,34715324,5003447698,22,98980658,"2,643,144,311",15,13,7,4,0,0,0,0,0,0,0,0,15,142,"18,349,788",399,"6,624,422",8,6,12,48,"1,340,751,897",TB-A,"1,340,751,897",TB-A,"2,269,968,300","4,518,079","5,059,093,164","5,003,447,698","34,715,324",13,4,3
42,ERG,4110599091,369328396,8.98%,10808533546,78171122,9347318694,56,71146613,"5,177,078,348",23,18,5,1,0,17,8,1,1,0,0,0,31,246,"20,905,146",415,"12,474,888",0,0,15,213,"3,146,230,469",ERG,"3,146,230,469",ERG,"4,110,599,091","369,328,396","10,808,533,546","9,347,318,694","78,171,122",46,12,12
43,~ER~,6135224427,374410715,6.10%,6902552650,69344152,13084936389,79,73969643,"6,637,542,476",31,11,1,0,0,9,2,1,1,0,0,0,56,170,"38,781,275",367,"18,085,947",0,0,7,127,"5,219,322,056",~ER~,"5,219,322,056",~ER~,"6,135,224,427","374,410,715","6,902,552,650","13,084,936,389","69,344,152",22,12,18
44,APES,6524885467,358826314,5.50%,10451428303,100134635,15845242900,93,65488927,"7,227,212,633",29,8,0,0,0,7,1,0,0,0,0,0,51,301,"23,788,418",585,"12,354,210",0,0,8,187,"4,558,505,041",APES,"4,558,505,041",APES,"6,524,885,467","358,826,314","10,451,428,303","15,845,242,900","100,134,635",18,27,25
45,~~BB,15151617386,1165024878,7.69%,24092080985,217705624,38794910304,192,77146759,"15,901,388,693",97,44,5,1,0,42,7,0,0,0,0,0,136,327,"48,508,531",522,"30,462,430",0,0,8,265,"11,885,653,554",~~BB,"11,885,653,554",~~BB,"15,151,617,386","1,165,024,878","24,092,080,985","38,794,910,304","217,705,624",35,36,26
46,DawN,11765837214,41095056,0.35%,12004813047,107276713,21013264586,173,63078957,"12,242,922,603",41,17,4,1,0,0,0,0,0,0,0,0,87,295,"41,390,972",472,"25,938,395",182,143,8,268,"10,338,339,992",DawN,"10,338,339,992",DawN,"11,765,837,214","41,095,056","12,004,813,047","21,013,264,586","107,276,713",40,51,51
47,-FU,11078661685,1378806943,12.45%,27638791122,156750677,32376871325,125,87696115,"12,213,711,571",75,51,10,4,2,62,14,2,0,0,0,0,95,371,"32,831,675",572,"21,352,643",0,0,13,343,"10,879,014,754",-FU,"10,879,014,754",-FU,"11,078,661,685","1,378,806,943","27,638,791,122","32,376,871,325","156,750,677",50,11,18
48,MCU,7054618191,304710039,4.32%,7769412624,96639317,13518839399,102,66654391,"7,573,962,109",32,14,2,0,0,8,0,0,0,0,0,0,61,181,"41,623,579",408,"18,563,633",0,0,9,174,"6,401,652,580",MCU,"6,401,652,580",MCU,"7,054,618,191","304,710,039","7,769,412,624","13,518,839,399","96,639,317",30,23,22
49,NTS,27488081078,5326395584,19.38%,119424974494,525682329,87638211119,243,115739154,"31,301,616,141",186,173,115,63,19,187,133,62,28,14,7,4,190,600,"52,169,360",600,"52,169,360",0,0,11,572,"27,438,745,366","NTS,NTA","28,808,366,100","NTS,NTA","27,488,081,078","5,326,395,584","119,424,974,494","87,638,211,119","525,682,329",182,0,0
50,50W,6884961508,10545530,0.15%,5560128777,59663252,10104135450,116,56298987,"7,317,273,633",19,9,1,0,0,0,0,0,0,0,0,0,42,194,"37,523,845",377,"19,409,214",118,88,7,176,"6,329,643,586",50W,"6,329,643,586",50W,"6,884,961,508","10,545,530","5,560,128,777","10,104,135,450","59,663,252",26,35,43
51,R4GE,8400966073,530387795,6.31%,13421868256,75310475,16782364965,116,70049532,"8,806,753,503",45,21,4,0,0,17,3,1,0,0,0,0,63,187,"46,931,810",355,"24,807,756",0,0,5,185,"7,960,245,160",R4GE,"7,960,245,160",R4GE,"8,400,966,073","530,387,795","13,421,868,256","16,782,364,965","75,310,475",24,23,33
52,,2095667174,84660733,4.04%,1919458694,17161342,3252874491,39,50788100,"2,531,932,010",5,2,0,0,0,2,0,0,0,0,0,0,11,112,"22,306,463",263,"9,627,118",0,0,4,58,,,,,"2,095,667,174","84,660,733","1,919,458,694","3,252,874,491","17,161,342",20,17,13
53,M/A,7496310501,211557904,2.82%,7757145484,87718716,13208693391,130,51754679,"8,233,695,773",18,7,0,0,0,3,2,0,0,0,0,0,36,285,"28,798,366",446,"18,461,201",0,0,13,207,"3,995,162,467",M/A,"3,995,162,467",M/A,"7,496,310,501","211,557,904","7,757,145,484","13,208,693,391","87,718,716",49,67,43
54,:54:,2861563147,32993494,1.15%,2338118702,28149507,4335307085,49,53000635,"3,085,544,066",9,6,0,0,0,1,1,0,0,0,0,0,14,92,"33,162,400",280,"11,019,800",34,26,7,120,"2,427,160,493",:54:,"2,427,160,493",:54:,"2,861,563,147","32,993,494","2,338,118,702","4,335,307,085","28,149,507",12,22,18
55,OGV,9382043596,415219905,4.43%,11778398066,103374435,18004675394,124,71616041,"9,833,141,971",43,24,5,0,0,11,2,1,0,0,0,0,80,209,"46,887,218",408,"24,100,838",0,0,6,187,"8,449,133,270",OGV,"8,449,133,270",OGV,"9,382,043,596","415,219,905","11,778,398,066","18,004,675,394","103,374,435",23,31,24
